ID,id,NAME,YEAR,REQUIRE,CATEGORY,TERM
1,1,Triết học Mác - Lênin,1,1,Đại cương,1
2,2,Kinh tế chính trị Mác - Lênin,1,1,Đại cương,1
3,3,Pháp luật đại cương,1,1,Đại cương,1
4,4,Vi tích phân 1B,1,1,Đại cương,1
5,5,Thực hành Vi tích phân 1B,1,1,Đại cương,1
6,6,Vật lý đại cương 1 (Cơ - Nhiệt),1,1,Đại cương,1
7,7,Giới thiệu ngành Công nghệ bán dẫn,1,1,Đại cương,1
8,8,Anh văn 1,1,2,Đại cương,1
9,9,Thể dục 1,1,2,Đại cương,1
10,10,Hóa đại cương 1,1,1,Đại cương,2
11,11,Vi tích phân 2B,1,1,Đại cương,2
12,12,Đại số tuyến tính,1,1,Đại cương,2
13,13,Vật lý đại cương 2 (Điện từ - Quang),1,1,Đại cương,2
14,14,Vật lý hiện đại (Lượng tử - Nguyên tử - Hạt nhân),1,1,Đại cương,2
15,15,Thực hành Vật lý đại cương,1,1,Đại cương,2
16,16,Tin học cơ sở,1,2,Đại cương,2
17,17,Anh văn 2,1,2,Đại cương,2
18,18,Thể dục 2,1,2,Đại cương,2
20,20,Chủ nghĩa xã hội khoa học,2,1,Đại cương,1
21,21,Lịch sử Đảng Cộng sản Việt Nam,2,1,Đại cương,1
22,22,Xác suất thống kê,2,1,Đại cương,1
23,23,Kinh tế đại cương ,2,0,Đại cương,1
24,24,Tâm lý đại cương ,2,0,Đại cương,1
25,25,Phương pháp luận sáng tạo ,2,0,Đại cương,1
26,26,Kỹ thuật lập trình Python,2,1,Đại cương,1
27,27,Vật lý chất rắn và bán dẫn,2,1,Cơ sở ngành,1
28,28,Phương pháp tính,2,1,Cơ sở ngành,1
19,19,Giáo dục quốc phòng – An ninh,2,2,Đại cương,1
29,29,Anh văn 3,2,2,Đại cương,1
30,30,Tư tưởng Hồ Chí Minh,2,1,Đại cương,2
31,31,Khoa học trái đất ,2,0,Đại cương,2
32,32,Môi trường đại cương ,2,0,Đại cương,2
33,33,Giới thiệu về Phát triển bền vững và biến đổi khí hậu,2,0,Đại cương,2
34,34,Điện tử cơ bản,2,1,Cơ sở ngành,2
35,35,Cơ lượng tử 1,2,1,Cơ sở ngành,2
36,36,Vật lý thống kê,2,1,Cơ sở ngành,2
37,37,Vật lý linh kiện bán dẫn,2,1,Cơ sở ngành,2
38,38,Công nghệ chế tạo bán dẫn cơ bản,2,1,Cơ sở ngành,2
39,39,Nhập môn trí tuệ nhân tạo,2,1,Cơ sở ngành,2
40,40,Anh văn 4,2,2,Đại cương,2
41,41,Kỹ thuật vi chế tạo,3,1,Cơ sở ngành,1
42,42,Tính chất đặc trưng của bán dẫn,3,1,Cơ sở ngành,1
43,43,Mạch điện tử và kỹ thuật số,3,1,Cơ sở ngành,1
44,44,Thiết bị đo lường,3,1,Cơ sở ngành,1
45,45,Công nghệ đóng gói linh kiện bán dẫn,3,1,Cơ sở ngành,1
46,46,Thiết kế vi mạch bán dẫn,3,1,Cơ sở ngành,1
47,47,Linh kiện vi cơ điện tử ,3,0,Chuyên ngành,2
48,48,Phân tích mạch ,3,0,Chuyên ngành,2
49,49,Quản lý nhiệt cho các linh kiện điện tử ,3,0,Chuyên ngành,2
50,50,Sản xuất linh kiện bán dẫn và kiểm soát quy trình ,3,0,Chuyên ngành,2
51,51,Quản lý chất lượng (Tester) ,3,0,Chuyên ngành,2
52,52,Vật liệu và linh kiện bộ nhớ bán dẫn ,3,0,Chuyên ngành,2
53,53,Công nghệ chế tạo cảm biến ,3,0,Chuyên ngành,2
54,54,"Chiếu sáng thông minh, laser và quang tử học ",3,0,Chuyên ngành,2
55,55,Vật liệu chuyển hóa năng lượng ,3,0,Chuyên ngành,2
56,56,Thiết kế vật lý,3,0,Chuyên ngành,2
57,57,Phương pháp nghiên cứu và phát triển ,3,0,Chuyên ngành,2
58,58,Đổi mới sáng tạo ,3,0,Chuyên ngành,2
59,59,"	
Kỹ thuật chân không và màng mỏng",3,0,Chuyên ngành,2
60,60,Đồ họa kỹ thuật trên máy tính,3,0,Chuyên ngành,2
61,61,Máy học ,3,0,Chuyên ngành,1
62,62,Hệ thống nhúng và IoT ,3,0,Chuyên ngành,2
63,63,Công nghệ đóng gói nâng cao ,4,0,Chuyên ngành,1
64,64,Quản lý an toàn thiết bị (Safety) ,4,0,Chuyên ngành,1
65,65,Mô hình linh kiện bán dẫn ,4,0,Chuyên ngành,1
66,66,Kỹ thuật mô phỏng ,4,0,Chuyên ngành,1
67,67,Mô phỏng nhiệt động học plasma trong chế tạo bán dẫn ,4,0,Chuyên ngành,1
68,68,Mô phỏng cấu trúc vùng năng lượng trong vật liệu bán dẫn ,4,0,Chuyên ngành,1
69,69,Mô phỏng các công nghệ chế tạo bán dẫn ,4,0,Chuyên ngành,1
70,70,Công nghệ mạch tích hợp mật độ cao ,4,0,Chuyên ngành,1
71,71,Thiết bị logic khả trình ,4,0,Chuyên ngành,1
72,72,Quang điện tử bán dẫn ,4,0,Chuyên ngành,1
73,73,Kỹ thuật phân tích vật liệu bán dẫn ,4,0,Chuyên ngành,1
74,74,Phương pháp phân tích khuyết tật bán dẫn ,4,0,Chuyên ngành,1
75,75,Điện hóa bán dẫn ,4,0,Chuyên ngành,1
76,76,Công nghệ hiển thị hình ảnh ,4,0,Chuyên ngành,1
77,77,Ứng dụng công nghệ bức xạ trong vật liệu bán dẫn ,4,0,Chuyên ngành,1
78,78,Pin nhiên liệu và công nghệ mới trong lưu trữ năng lượng ,4,0,Chuyên ngành,1
79,79,Thiết kế lõi IP,4,0,Chuyên ngành,1
80,80,Thực tập thực tế ,4,0,Chuyên ngành,1
81,81,Nano sinh học quang tử,4,0,Chuyên ngành,1
82,82,Thiết kế hệ thống điện quang,4,0,Chuyên ngành,1
83,83,Kỹ thuật laser,4,0,Chuyên ngành,1
84,84,Công nghệ quang điện mặt trời,4,0,Chuyên ngành,1
85,85,Kỹ thuật thiết kế mạch in PCB,4,0,Chuyên ngành,1
86,86,Công nghệ kết nối mật độ cao trong đóng gói,4,0,Chuyên ngành,1
87,87,Kiểm thử chất lượng đóng gói,4,0,Chuyên ngành,1
88,88,Chuyên đề mới trong Công nghệ bán dẫn,4,0,Chuyên ngành,1
89,89,Khóa luận tốt nghiệp ,4,1,Tốt nghiệp,2
